is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
1,20,1,1,0,1,PERTURBATION,0,ROTATION,0.428898096084595,-90,-109.62036803374,-19.6203680337398,80,58,msl000290,v1,0.353710651397705,4.03363871574402,-3.00263557434082,14.6356254577638,1307
1,15,1,1,0,0,PERTURBATION,0,ROTATION,0.719456195831299,-90,-104.206856115741,-14.206856115741,80,59,msl000290,v1,0,0,0,0,1307
1,15,1,1,0,1,PERTURBATION,0,ROTATION,0.599640846252441,-90,-100.252497237497,-10.2524972374973,80,60,msl000290,v1,0.840938329696655,4.04896140098572,0,7.62947578430189,1307
1,-55,1,1,0,0,PERTURBATION,0,ROTATION,0.694764852523804,-90,-104.108465475903,-14.1084654759031,80,61,msl000290,v1,0,0,0,0,1307
1,-55,1,1,0,1,PERTURBATION,0,ROTATION,0.27036190032959,-90,-13.1994375281635,76.8005624718365,80,62,msl000290,v1,0.125623226165772,4.06971716880798,0,100,1307
1,-50,1,1,0,0,PERTURBATION,0,ROTATION,0.665405988693237,-90,-102.719820334772,-12.7198203347716,80,63,msl000290,v1,0,0,0,0,1307
1,-50,1,1,0,1,PERTURBATION,0,ROTATION,0.356493949890137,-90,-22.6863358891867,67.3136641108133,80,64,msl000290,v1,0.361004829406738,5.05701684951782,59.2186460494999,27.6470462799073,1307
1,50,1,1,0,0,PERTURBATION,0,ROTATION,0.500578880310059,-90,-95.4059819715875,-5.40598197158745,80,65,msl000290,v1,0,0,0,0,1307
1,50,1,1,0,1,PERTURBATION,0,ROTATION,0.373755931854248,-90,-139.987603936864,-49.9876039368642,80,66,msl000290,v1,0.220104455947876,3.94804358482361,-43.7050289154054,17.3046348571779,1390
1,-30,1,1,0,0,PERTURBATION,0,ROTATION,1.07754302024841,-90,-102.252826535527,-12.2528265355269,80,67,msl000290,v1,0,0,0,0,1390
1,-30,1,1,0,1,PERTURBATION,0,ROTATION,0.627537965774536,-90,-57.821130224,32.178869776,80,68,msl000290,v1,0.335840225219727,5.1998291015625,0,99.7103000640875,1391
1,-15,1,1,0,0,PERTURBATION,0,ROTATION,1.47739005088806,-90,-97.277386478645,-7.27738647864497,80,69,msl000290,v1,0,0,0,0,1391
1,-15,1,1,0,1,PERTURBATION,0,ROTATION,0.332103967666626,-90,-63.9702057567637,26.0297942432363,80,70,msl000290,v1,0.308138608932495,3.77210855484009,21.1852621078491,21.6417751312257,1391
1,40,1,1,0,0,PERTURBATION,0,ROTATION,0.461872816085815,-90,-100.7633178325,-10.7633178325004,80,71,msl000290,v1,0,0,0,0,1391
1,40,1,1,0,1,PERTURBATION,0,ROTATION,0.470016956329346,-90,-135.120470323841,-45.1204703238408,80,72,msl000290,v1,0.273505926132202,3.65747785568237,-28.5250379562377,22.3090274810792,1469
1,60,1,1,0,0,PERTURBATION,0,ROTATION,0.459326028823853,-90,-104.04072886265,-14.0407288626496,80,73,msl000290,v1,0,0,0,0,1469
1,60,1,1,0,1,PERTURBATION,0,ROTATION,0.334026098251343,-90,-147.510018907614,-57.5100189076138,80,74,msl000290,v1,0.304219961166382,4.28816294670105,-44.8727205276491,18.3055133819581,1551
1,-35,1,1,0,0,PERTURBATION,0,ROTATION,0.441513776779175,-90,-110.963598572253,-20.9635985722527,80,75,msl000290,v1,0,0,0,0,1551
1,-35,1,1,0,1,PERTURBATION,0,ROTATION,0.693603038787842,-90,-31.43746110936,58.56253889064,80,76,msl000290,v1,0.310114622116089,4.42213654518127,51.3784309387209,18.6391395568849,1551
1,45,1,1,0,0,PERTURBATION,0,ROTATION,0.390272855758667,-90,-105.745431437483,-15.7454314374829,80,77,msl000290,v1,0,0,0,0,1551
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.523334980010986,-90,-128.508017156886,-38.5080171568861,80,78,msl000290,v1,0.0161833763122559,3.08007025718689,-29.525916481018,21.6417751312257,1630
1,0,1,1,0,0,PERTURBATION,0,ROTATION,0.470458984375,-90,-104.456231615353,-14.4562316153531,80,79,msl000290,v1,0,0,0,0,1630
1,0,1,1,0,1,PERTURBATION,0,ROTATION,0.495054960250855,-90,-87.0527418461338,2.94725815386624,80,80,msl000290,v1,0.242364406585693,3.25831151008606,12.34416847229,17.9718872070314,1713
1,55,1,1,0,0,PERTURBATION,0,ROTATION,0.477813005447388,-90,-103.776100754499,-13.7761007544992,80,81,msl000290,v1,0,0,0,0,1713
1,55,1,1,0,1,PERTURBATION,0,ROTATION,0.391206979751587,-90,-143.033566187937,-53.0335661879372,80,82,msl000290,v1,0.76738429069519,3.72731328010559,-31.6944866180419,21.9754013061525,1792
1,-20,1,1,0,0,PERTURBATION,0,ROTATION,0.512408018112183,-90,-107.451637960362,-17.4516379603619,80,83,msl000290,v1,0,0,0,0,1792
1,-20,1,1,0,1,PERTURBATION,0,ROTATION,0.485872983932495,-90,-52.8257676789601,37.1742323210399,80,84,msl000290,v1,0.314992189407349,3.84300327301025,34.1966829299926,24.3107845306398,1792
1,20,1,1,0,0,PERTURBATION,0,ROTATION,0.48737096786499,-90,-107.688878529785,-17.6888785297853,80,85,msl000290,v1,0,0,0,0,1792
1,20,1,1,0,1,PERTURBATION,0,ROTATION,0.471836090087891,-90,-107.563389605358,-17.5633896053577,80,86,msl000290,v1,0.315822601318359,2.54788160324097,-1.33450469970703,16.6373825073244,1876
1,0,1,1,0,0,PERTURBATION,0,ROTATION,0.490979194641113,-90,-107.039700879396,-17.0397008793958,80,87,msl000290,v1,0,0,0,0,1876
1,0,1,1,0,1,PERTURBATION,0,ROTATION,0.382745027542114,-90,-87.8991411737833,2.10085882621674,80,88,msl000290,v1,0.27141261100769,2.66338849067688,18.6830657958984,22.9762798309327,1954
1,-15,1,1,0,0,PERTURBATION,0,ROTATION,0.39600682258606,-90,-103.041038269743,-13.0410382697426,80,89,msl000290,v1,0,0,0,0,1954
1,-15,1,1,0,1,PERTURBATION,0,ROTATION,0.467220067977905,-90,-67.1971560643795,22.8028439356205,80,90,msl000290,v1,0.579860210418701,3.88382720947266,29.0254772186279,20.3072704315187,2034
1,-50,1,1,0,0,PERTURBATION,0,ROTATION,0.400249004364014,-90,-103.750382531408,-13.7503825314079,80,91,msl000290,v1,0,0,0,0,2034
1,-50,1,1,0,1,PERTURBATION,0,ROTATION,0.45508885383606,-90,-36.2542588236317,53.7457411763683,80,92,msl000290,v1,0.254415988922119,5.2223801612854,65.2239171981816,18.9727657318117,2116
1,40,1,1,0,0,PERTURBATION,0,ROTATION,0.455265045166016,-90,-106.867775917691,-16.8677759176911,80,93,msl000290,v1,0,0,0,0,2116
1,40,1,1,0,1,PERTURBATION,0,ROTATION,0.420542001724243,-90,-127.936136784511,-37.9361367845113,80,94,msl000290,v1,0.247057914733887,3.28692388534546,-15.0131778717041,27.9806724548341,2189
